"","Name","Total","Rank","Award","Year"
"2","Bohuslav Diviš",40,1,"Gold",1959
"3","György Csanak",37,2,"Gold",1959
"4","Basarab Nicolescu",37,2,"Gold",1959
"5","Gábor Halász",36,4,"Silver",1959
"6","Cristian Berthaler",36,4,"Silver",1959
"7","Cezar Gheorghe",36,4,"Silver",1959
"8","György Muszély",35,7,"Bronze",1959
"9","Virgil Brişcă",35,7,"Bronze",1959
"10","Béla Bollobás",34,9,"Bronze",1959
"11","Andrei Tom",34,9,"Bronze",1959
"12","Mihail Vrăjitoru",33,11,"Bronze",1959
"13","Viktor Fedorev",32,12,"Honourable mention",1959
"14","Domokos Szász",31,13,"Honourable mention",1959
"15","Ivan Titelnikov",30,14,"Honourable mention",1959
"16","Valeriy Frolov",30,14,"Honourable mention",1959
"17","Karel Šmuk",29,16,"Honourable mention",1959
"18","Jiří Moudrý",28,17,"Honourable mention",1959
"19","Jiří Votava",28,17,"Honourable mention",1959
"20","Viorel Barbu",28,17,"Honourable mention",1959
"21","Zdislav Kovářík",25,20,"Honourable mention",1959
"22","Jan Tóke",25,20,"Honourable mention",1959
"23","Ferenc Mezei",24,22,NA,1959
"24","?",23,23,NA,1959
"25","Petr Balarev",22,24,NA,1959
"26","?",21,25,NA,1959
"27","Ambrus Tihanyi",21,25,NA,1959
"28","?",21,25,NA,1959
"29","Ventseslav Andreichev",20,38,NA,1959
"30","*",20,28,NA,1959
"31","Rafail Zlatarov",19,31,NA,1959
"32","*",19,29,NA,1959
"33","*",18,30,NA,1959
"34","*",16,32,NA,1959
"35","Tsvetana Penkovska",15,33,NA,1959
"36","Gyula Katona",15,33,NA,1959
"37","Aleksander Chetajev",15,33,NA,1959
"38","?",12,36,NA,1959
"39","*",11,37,NA,1959
"40","Ljubozar Dimitrov",10,38,NA,1959
"41","Nedka Ivanova",9,40,NA,1959
"42","?",9,40,NA,1959
"43","*",9,40,NA,1959
"44","Todor Todorov",8,43,NA,1959
"45","*",8,43,NA,1959
"46","*",6,45,NA,1959
"47","*",6,45,NA,1959
"48","*",6,45,NA,1959
"49","*",5,48,NA,1959
"50","*",4,49,NA,1959
"51","*",4,49,NA,1959
"52","*",3,51,NA,1959
"53","*",2,52,NA,1959
"54","Ivan Korec",43,1,"Gold",1960
"55","Ferenc Mezei",43,1,"Gold",1960
"56","Béla Bollobás",41,3,"Gold",1960
"57","Cezar Gheorghe",41,3,"Gold",1960
"58","Nicolae Popa",39,5,"Silver",1960
"59","György Muszély",38,6,"Silver",1960
